sku,actual_units,baseline_wape,baseline_bias,baseline_cost,baseline_service_level,model_wape,model_bias,model_cost,model_service_level,cost_delta
84077,12825.0,1.1746588693957114,0.0030409356725146198,51268.25339330081,0.792237012429978,0.7407579995518639,0.30400318134321547,15905.622632146124,0.7627883661193976,35362.63076115469
85099B,9649.0,1.1100632189864235,-0.23473935122810655,19978.832257025468,1.0,0.7637330345150585,-0.06066255268026081,8161.773875215635,1.0,11817.058381809833
17003,3329.0,1.6455392009612497,-0.028236707720036048,16611.653856002446,1.0,1.5229887406648608,-0.38569948217565303,5950.76702710384,1.0,10660.886828898605
22492,5827.0,1.4168525828041874,-0.11051999313540416,15509.44682387038,1.0,0.9485814487902019,0.12240966213957796,6585.969188815251,1.0,8923.47763505513
15036,1145.0,1.7126637554585153,-0.5877729257641922,10996.033652390906,1.0,2.6240405580882467,-2.3249887673798595,3571.6945321863404,1.0,7424.339120204566
21977,2167.0,1.3825565297646516,-0.30826026765113057,11820.93601370221,1.0,1.91827101191451,-1.6374220597641265,6126.881370655907,1.0,5694.054643046304
85123A,7105.0,0.9334271639690359,0.05517241379310345,8423.149357462094,0.9624066541795487,0.7287706662062978,0.0585703813503053,3427.108583302622,0.9309954606635495,4996.040774159473
22197,23551.0,0.9053118763534457,0.15502526431998642,17066.936545082557,0.9690610772471984,0.7203552064038635,0.5844825923953402,12397.317511948939,0.9046148013568812,4669.619033133618
84879,8691.0,0.9360257737889771,0.02082614198596249,7061.32888115941,1.0,0.6592410903840672,0.18641057846900883,3867.664433504395,0.958887096540835,3193.664447655015
21212,4570.0,0.9242888402625821,-0.052954048140043765,6952.219431264027,1.0,1.098235352536537,-0.5414786348828623,5129.924929985769,1.0,1822.2945012782575
84991,2919.0,1.4025351147653307,-0.018499486125385406,6103.317258187997,1.0,1.2142001076356381,-0.38260186280738434,4502.9606328570235,1.0,1600.3566253309737
20725,3397.0,0.6920812481601413,-0.012658227848101266,2658.74334573354,1.0,0.6779960455632742,-0.21247085886727535,1696.2255286464422,1.0,962.5178170870979
